mtime,stream_id,A,B,C,D,E,F,G,H,I,J
2021-10-01T00:00,s,26,11,10,6,5,16,22,5,51,261
2021-10-01T00:00,t,147,267,125,24,122,396,121,46,266,517
2021-10-01T00:00,u,39,9,11,7,6,37,14,1,38,33
2021-10-01T00:00,v,49,21,15,8,14,62,29,6,53,115
2021-10-01T00:00,w,19,9,12,4,7,50,5,0,23,38
2021-10-01T00:00,x,67,35,27,75,23,128,24,7,82,79
2021-10-01T00:00,y,13,19,14,4,4,40,14,2,23,38
2021-10-01T00:00,z,19,16,18,11,0,28,11,2,23,34
2021-10-01T00:00,0,4,0,1,7,11,5,2,0,6,26
2021-10-01T00:00,1,99,611,42,13,30,504,15,24,137,114
2021-10-01T00:00,2,17,4,14,5,7,45,2,1,22,45
2021-10-01T00:00,3,15,13,46,48,55,56,22,3,35,91
2021-10-01T00:00,4,80,88,40,17,42,164,44,26,117,202
2021-10-01T00:00,5,35,20,13,7,17,24,11,6,26,63
2021-10-01T00:00,6,14,38,0,3,0,116,2,0,18,8
2021-10-01T00:00,7,33,76,25,20,10,108,17,3,81,67
2021-10-01T00:00,8,89,10,0,36,9,41,37,0,18,40
2021-10-01T00:00,9,25,18,6,24,13,29,7,1,32,33
2021-10-01T00:00,AA,75,73,55,20,39,66,107,14,59,236
2021-10-01T00:00,AB,4,14,30,8,42,20,31,3,16,58
2021-10-01T00:00,AC,21,27,3,5,6,47,3,1,45,61
2021-10-01T00:00,AD,54,80,43,8,26,147,30,9,80,109
2021-10-01T00:00,AE,74,45,21,60,22,96,15,0,32,59
2021-10-01T00:00,AF,37,44,20,8,10,81,16,4,63,74
2021-10-01T00:00,AG,30,6,0,15,0,14,6,0,331,31
2021-10-01T00:00,AH,27,8,16,34,15,21,14,0,31,61
2021-10-01T00:00,AI,6,6,0,4,0,6,5,0,0,4
2021-10-01T00:00,AJ,16,12,12,7,24,41,6,2,42,70
2021-10-01T00:00,AK,12,7,0,7,0,4,0,0,0,2
2021-10-01T00:00,AL,12,29,4,4,1,64,5,2,21,35
2021-10-01T00:00,AM,18,42,16,7,9,72,8,6,35,34
2021-10-01T00:00,AN,40,21,1,15,3,67,13,0,84,25
2021-10-01T00:00,AO,33,12,28,7,14,51,23,1,42,47
2021-10-01T00:00,AP,84,75,50,7,48,175,75,5,129,235
2021-10-01T00:00,AQ,88,180,66,11,51,293,68,22,286,361
2021-10-01T00:00,AR,30,23,24,6,20,36,26,7,52,56
2021-10-01T00:00,AS,75,212,133,13,103,349,69,71,116,249
2021-10-01T00:00,AT,18,43,17,6,20,93,14,2,118,105
2021-10-01T00:00,AU,22,24,14,11,8,103,9,3,33,32
2021-10-01T00:00,AV,40,40,18,31,10,84,37,0,85,72
2021-10-01T00:00,AW,25,68,28,8,8,88,5,4,77,65
2021-10-01T00:00,AX,60,148,23,10,28,249,22,11,123,162
2021-10-01T00:00,AY,15,12,15,9,19,19,13,9,21,68
2021-10-01T00:00,AZ,25,51,4,5,3,60,5,0,27,31
2021-10-01T00:00,Aa,40,72,40,17,30,135,39,15,96,111
2021-10-01T00:00,Ab,3,0,0,2,0,5,0,0,0,1
2021-10-01T00:00,Ac,12,10,6,13,3,19,7,0,14,22
2021-10-01T00:00,Ad,13,17,16,3,4,49,23,1,50,76
2021-10-01T00:00,Ae,37,20,17,6,4,29,12,6,69,48
2021-10-01T00:00,Af,22,28,8,5,5,48,7,5,24,48
2021-10-01T00:00,Ag,22,13,13,19,2,18,22,3,19,50
2021-10-01T00:00,Ah,6,16,22,6,12,18,18,3,25,78
2021-10-01T00:00,Ai,31,25,98,12,207,73,95,21,142,443
2021-10-01T00:00,Aj,42,46,45,12,40,81,42,11,108,133
2021-10-01T00:00,Ak,8,2,0,8,0,1,8,0,5,794
2021-10-01T00:00,Al,10,42,5,1,5,76,8,4,57,26
2021-10-01T00:05,c,25,40,21,48,12,45,9,0,66,155
2021-10-01T00:05,Am,13,13,2,4,0,61,2,0,16,9
2021-10-01T00:05,O,18,43,13,9,10,45,21,9,21,29
2021-10-01T00:05,An,18,6,85,138,325,27,23,0,5,53
2021-10-01T00:05,AI,4,8,0,4,0,4,4,0,3,1
2021-10-01T00:05,1,92,507,36,15,20,380,14,28,100,82
2021-10-01T00:05,Ao,22,40,13,4,7,33,6,9,34,61
2021-10-01T00:05,E,56,70,10,16,11,237,20,10,72,48
2021-10-01T00:05,J,2,0,0,2,5,0,1,0,4,1
2021-10-01T00:05,3,15,14,44,49,56,61,22,3,33,101
2021-10-01T00:05,AB,3,13,26,8,34,15,26,2,15,57
2021-10-01T00:05,Ap,27,28,20,12,11,58,16,5,39,72
2021-10-01T00:05,Aj,44,43,48,13,38,82,42,12,99,127
2021-10-01T00:05,S,34,117,4,70,2,157,9,11,41,34
2021-10-01T00:05,v,67,33,29,14,25,85,38,5,85,163
2021-10-01T00:05,AC,10,20,0,6,5,37,7,0,40,43
2021-10-01T00:05,Ah,6,20,17,4,10,19,9,3,24,63
2021-10-01T00:05,a,15,48,43,8,39,94,14,22,35,75
2021-10-01T00:05,o,24,1,21,4,9,17,25,0,30,62
2021-10-01T00:05,Aq,26,15,18,10,7,24,8,3,26,31
2021-10-01T00:05,g,342,90,62,22,54,266,149,17,158,271
2021-10-01T00:05,Ad,11,15,16,6,4,40,22,2,41,66
2021-10-01T00:05,Ar,6,9,0,7,0,11,1,0,8,0
2021-10-01T00:05,B,6,11,1,3,0,28,4,1,12,10
2021-10-01T00:05,6,15,41,0,2,0,120,0,0,17,9
2021-10-01T00:05,AS,76,241,137,19,114,378,73,74,128,251
2021-10-01T00:05,Z,9,14,0,7,0,7,4,0,6,14
2021-10-01T00:05,A,195,210,295,30,177,406,313,99,590,8871
2021-10-01T00:05,w,21,12,15,4,11,56,4,0,24,47
2021-10-01T00:05,7,43,79,35,36,15,134,20,2,99,86
2021-10-01T00:05,AA,71,72,50,18,47,59,114,16,46,263
2021-10-01T00:05,AQ,25,48,19,4,17,91,21,6,87,111
2021-10-01T00:05,i,58,18,14,26,5,35,31,9,61,347
2021-10-01T00:05,s,46,39,29,11,11,26,43,12,115,474
2021-10-01T00:05,t,108,182,91,26,102,282,98,45,210,399
2021-10-01T00:05,Ai,26,23,76,12,150,66,78,14,115,350
2021-10-01T00:05,L,20,45,60,80,43,44,32,9,52,97
2021-10-01T00:05,x,88,40,35,67,32,145,43,16,106,100
2021-10-01T00:05,W,59,27,30,11,30,68,38,7,70,135
2021-10-01T00:05,4,56,103,45,10,41,161,41,25,94,196
2021-10-01T00:05,X,12,28,9,6,5,45,2,5,23,60
2021-10-01T00:05,AN,20,18,4,15,1,37,12,0,54,12
2021-10-01T00:05,0,2,0,0,7,10,6,2,0,5,26
2021-10-01T00:05,AF,18,19,8,4,1,39,8,4,41,40
2021-10-01T00:05,As,25,20,0,8,0,21,26,0,27,11
2021-10-01T00:05,f,51,7,4,10,0,32,2,0,36,7
2021-10-01T00:05,N,30,9,1,33,0,29,22,0,60,25
2021-10-01T00:05,Ak,13,3,2,8,0,2,6,0,13,1343
2021-10-01T00:05,D,2,0,0,5,0,0,4,0,2,1
2021-10-01T00:05,Aa,48,87,46,18,33,181,42,14,130,129
2021-10-01T00:05,AR,29,19,19,6,20,38,24,4,36,58
2021-10-01T00:05,U,66,24,17,21,3,61,7,6,62,53
2021-10-01T00:05,K,26,1240,0,10,10,28,2,0,1,5
2021-10-01T00:05,b,34,57,8,6,14,116,14,12,31,61
2021-10-01T00:05,Af,58,99,33,15,22,125,30,20,79,142
2021-10-01T00:05,V,61,27,21,46,14,75,35,3,45,73
2021-10-01T00:05,AD,63,107,43,13,31,181,49,7,98,137
2021-10-01T00:05,I,32,32,5,8,13,27,8,11,39,73
2021-10-01T00:05,At,25,22,9,18,3,40,9,5,22,31
2021-10-01T00:05,P,22,18,15,6,17,49,25,5,38,77
2021-10-01T00:05,z,17,19,8,9,5,24,8,9,9,29
2021-10-01T00:05,q,52,54,14,72,15,306,11,3,109,51
2021-10-01T00:05,AO,35,14,20,8,14,45,16,3,22,61
2021-10-01T00:05,Ac,14,12,5,13,3,22,7,0,17,24
2021-10-01T00:05,AL,13,26,11,5,8,66,6,4,23,39
2021-10-01T00:05,Al,9,39,5,1,4,73,7,4,54,23
2021-10-01T00:05,AH,27,11,15,35,24,22,14,1,27,69
2021-10-01T00:05,Au,28,26,17,8,26,62,31,3,35,69
2021-10-01T00:05,Av,12,11,13,12,7,41,10,1,29,46
2021-10-01T00:05,Y,13,48,8,7,0,47,9,0,29,21
2021-10-01T00:05,T,246,433,146,31,81,632,158,57,355,608
2021-10-01T00:05,M,8,1,4,14,0,2,12,1,78,104
2021-10-01T00:05,AW,20,50,20,3,11,58,8,4,57,53
2021-10-01T00:05,u,73,20,18,15,15,64,29,1,67,60
2021-10-01T00:05,AM,25,47,19,7,3,71,9,7,33,42
2021-10-01T00:05,AG,29,7,0,19,1,17,10,0,320,14
2021-10-01T00:05,Ag,21,14,15,17,0,14,25,1,14,54
2021-10-01T00:05,Aw,9,10,16,18,11,42,26,1,23,41
2021-10-01T00:05,C,67,39,29,13,22,55,29,10,41,75
2021-10-01T00:05,H,41,59,25,9,8,67,23,4,51,86
2021-10-01T00:05,k,45,23,3,9,0,41,6,3,53,27
2021-10-01T00:05,8,83,16,7,38,9,36,41,0,5,35
2021-10-01T00:05,Ax,67,56,35,6,20,86,29,13,80,123
2021-10-01T00:05,Ay,17,21,17,4,5,39,5,5,23,48
2021-10-01T00:05,AX,57,145,23,11,34,233,25,10,107,157
2021-10-01T00:05,Az,17,29,13,7,19,25,3,2,10,45
2021-10-01T00:05,m,9,14,0,1,10,77,2,0,17,7
2021-10-01T00:05,AE,67,47,21,79,21,110,20,0,34,67
2021-10-01T00:05,AZ,25,41,8,4,2,60,4,0,31,33
2021-10-01T00:05,A0,35,10,6,3,4,33,11,2,34,26
2021-10-01T00:05,AV,33,29,19,24,4,59,31,0,43,57
2021-10-01T00:05,F,80,20,11,3,10,53,11,8,42,35
2021-10-01T00:05,d,6,10,0,6,0,8,0,0,1,6
2021-10-01T00:05,AU,25,27,17,5,10,122,11,4,30,42
2021-10-01T00:05,AT,13,28,15,4,14,65,14,1,88,69
2021-10-01T00:05,r,5,2,0,4,2,5,3,0,5,5
2021-10-01T00:05,Q,23,82,7,6,2,77,8,1,64,52
2021-10-01T00:05,R,30,25,23,11,16,56,11,11,74,57
2021-10-01T00:05,2,14,8,9,1,5,48,4,1,25,36
2021-10-01T00:05,h,17,19,1,12,0,31,4,0,27,28
2021-10-01T00:10,Ac,12,11,4,13,4,22,6,0,12,23
2021-10-01T00:10,An,11,6,104,110,372,20,27,3,2,54
2021-10-01T00:10,A1,17,10,13,8,2,33,4,5,27,54
2021-10-01T00:10,U,74,26,12,21,0,70,10,11,75,51
2021-10-01T00:10,I,19,27,0,4,4,15,7,9,33,86
2021-10-01T00:10,t,51,88,47,20,57,140,44,27,85,186
2021-10-01T00:10,AX,67,178,32,16,37,274,24,8,128,161
2021-10-01T00:10,g,424,104,70,20,61,306,161,18,191,319
2021-10-01T00:10,Z,9,13,0,15,0,4,4,0,6,15
2021-10-01T00:10,R,17,11,20,12,17,41,5,2,80,56
2021-10-01T00:10,Aj,46,46,45,12,34,77,41,10,86,116
2021-10-01T00:10,8,89,16,8,44,11,37,49,0,10,40
2021-10-01T00:10,Ah,8,20,11,6,10,16,12,4,22,59
2021-10-01T00:10,A,234,263,415,36,219,434,438,141,659,10915
2021-10-01T00:10,A2,18,21,8,5,5,38,5,0,16,28
2021-10-01T00:10,Aw,9,13,18,22,16,50,30,0,30,47
2021-10-01T00:10,b,38,42,7,15,18,104,8,13,41,65
2021-10-01T00:10,Ad,9,12,17,6,5,36,21,2,42,69
2021-10-01T00:10,W,41,19,21,8,24,45,20,3,44,98
2021-10-01T00:10,A3,17,25,4,10,4,25,6,1,23,40
2021-10-01T00:10,O,17,37,11,8,6,40,21,10,19,32
2021-10-01T00:10,AS,80,236,144,16,102,368,51,74,126,243
2021-10-01T00:10,6,9,35,0,2,0,109,0,0,17,7
2021-10-01T00:10,N,28,12,0,32,4,37,22,0,52,30
2021-10-01T00:10,AT,8,19,13,5,6,53,9,0,56,52
2021-10-01T00:10,AC,18,19,3,6,5,52,4,0,33,52
2021-10-01T00:10,m,6,15,0,2,6,66,5,0,9,7
2021-10-01T00:10,a,11,34,32,7,34,80,12,20,28,52
2021-10-01T00:10,A4,19,21,6,8,6,34,11,2,29,30
2021-10-01T00:10,Ag,23,13,12,20,1,18,20,1,19,50
2021-10-01T00:10,D,1,0,0,8,3,0,0,0,0,0
2021-10-01T00:10,0,6,3,1,7,11,11,2,0,9,27
2021-10-01T00:10,f,45,6,5,7,3,30,1,0,35,6
2021-10-01T00:10,AR,35,26,24,9,19,50,23,10,36,71
2021-10-01T00:10,Ak,13,4,2,12,1,2,9,0,6,1485
2021-10-01T00:10,AA,54,62,54,14,42,63,113,14,41,230
2021-10-01T00:10,Au,29,31,16,11,28,92,39,1,41,79
2021-10-01T00:10,A5,30,24,28,11,27,34,37,8,39,113
2021-10-01T00:10,A6,23,34,15,5,9,60,11,4,46,54
2021-10-01T00:10,3,10,9,35,46,46,65,18,3,28,86
2021-10-01T00:10,c,32,43,23,47,14,49,10,0,77,176
2021-10-01T00:10,Aa,67,74,55,18,24,172,41,12,137,135
2021-10-01T00:10,4,62,67,28,11,36,141,37,15,78,153
2021-10-01T00:10,AU,14,19,12,5,8,91,8,1,19,38
2021-10-01T00:10,h,17,10,1,8,1,25,4,1,30,24
2021-10-01T00:10,v,115,47,39,16,36,99,47,8,98,226
2021-10-01T00:10,A7,71,49,56,14,34,91,58,14,66,161
2021-10-01T00:10,X,11,21,4,9,3,24,1,12,31,37
2021-10-01T00:10,S,46,125,9,54,2,146,11,4,52,38
2021-10-01T00:10,Y,10,41,6,5,1,39,6,2,37,15
2021-10-01T00:10,7,37,79,36,38,14,149,26,10,108,95
2021-10-01T00:10,Az,16,37,20,11,10,37,7,4,24,71
2021-10-01T00:10,Af,43,73,21,10,13,101,28,18,66,90
2021-10-01T00:10,M,12,3,8,16,0,3,14,4,101,124
2021-10-01T00:10,Ar,5,4,1,7,0,4,0,0,12,5
2021-10-01T00:10,A8,26,15,4,2,5,20,15,0,20,24
2021-10-01T00:10,B,11,15,4,3,1,33,2,0,11,13
2021-10-01T00:10,A9,19,24,2,6,2,35,5,0,22,37
2021-10-01T00:10,z,21,26,3,4,10,30,4,8,13,35
2021-10-01T00:10,E,41,63,9,12,9,203,18,10,57,42
2021-10-01T00:10,AZ,20,33,4,5,2,55,4,0,25,30
2021-10-01T00:10,AG,39,9,1,16,0,13,5,0,297,25
2021-10-01T00:10,BA,29,14,71,379,63,19,35,2,19,160
2021-10-01T00:10,AN,21,20,4,12,1,39,10,0,54,14
2021-10-01T00:10,Ax,40,37,25,6,15,58,21,10,51,84
2021-10-01T00:10,V,60,31,21,50,13,86,39,3,52,74
2021-10-01T00:10,u,121,31,22,23,19,83,51,4,92,89
2021-10-01T00:10,q,45,42,12,58,9,252,6,2,87,42
2021-10-01T00:10,1,97,518,38,19,20,399,22,29,84,102
2021-10-01T00:10,Ao,11,29,9,5,5,34,8,7,33,55
2021-10-01T00:10,BB,36,15,12,36,3,45,16,0,45,19
2021-10-01T00:10,AL,9,22,6,4,8,45,5,3,24,34
2021-10-01T00:10,Ap,34,34,13,21,12,63,18,5,49,64
2021-10-01T00:10,Q,27,83,8,6,2,70,11,2,60,54
2021-10-01T00:10,T,122,212,81,24,47,334,73,10,193,270
2021-10-01T00:10,F,87,17,12,3,11,55,10,4,39,38
2021-10-01T00:10,BC,22,17,4,126,13,36,8,3,25,23
2021-10-01T00:10,BD,267,391,182,24,87,578,151,69,353,564
2021-10-01T00:10,At,49,38,15,26,10,88,18,5,40,48
2021-10-01T00:10,BE,15,15,3,16,12,42,2,1,7,18
2021-10-01T00:10,x,90,49,47,72,32,157,61,17,134,114
2021-10-01T00:10,P,21,16,14,5,19,45,27,4,38,69
2021-10-01T00:10,C,53,39,25,9,13,51,38,9,34,81
2021-10-01T00:10,K,24,1482,4,10,9,31,0,0,4,6
2021-10-01T00:10,Ai,21,19,52,12,108,49,67,9,86,261
2021-10-01T00:10,Aq,22,20,11,14,6,19,5,2,37,30
2021-10-01T00:10,L,14,40,56,64,41,37,28,7,46,80
2021-10-01T00:10,BF,3,1,0,2,0,2,1,0,1,5
2021-10-01T00:10,AM,30,56,18,9,10,86,12,9,51,63
2021-10-01T00:10,n,28,7,7,39,9,27,30,8,18,68
2021-10-01T00:10,s,25,22,17,5,8,18,28,7,82,355
2021-10-01T00:10,AI,6,6,2,3,0,5,5,0,4,3
2021-10-01T00:10,AB,4,13,28,10,39,17,27,4,17,63
2021-10-01T00:10,AD,69,139,58,19,24,222,44,16,114,159
2021-10-01T00:10,w,24,13,12,5,12,61,4,0,21,54
2021-10-01T00:10,AE,74,42,19,78,22,104,22,3,31,73
2021-10-01T00:10,Al,9,36,5,2,4,65,8,4,49,20
2021-10-01T00:10,AH,27,10,9,31,19,19,16,0,29,56
2021-10-01T00:10,AW,24,53,20,4,14,67,8,4,60,57
2021-10-01T00:10,i,48,17,18,23,3,27,21,3,53,269
2021-10-01T00:15,A9,14,29,9,5,4,43,3,2,31,43
2021-10-01T00:15,D,1,0,0,8,0,0,4,0,0,0
2021-10-01T00:15,BG,16,20,0,6,0,55,3,0,11,6
2021-10-01T00:15,7,32,63,34,29,13,146,17,4,97,88
2021-10-01T00:15,S,33,104,7,54,1,143,12,8,48,24
2021-10-01T00:15,K,32,1497,0,10,9,47,4,0,2,4
2021-10-01T00:15,4,47,56,17,12,25,125,30,18,71,147
2021-10-01T00:15,E,40,61,9,10,7,188,15,10,51,37
2021-10-01T00:15,u,85,16,14,15,14,61,34,3,67,71
2021-10-01T00:15,Aj,46,49,42,13,34,77,36,9,86,114
2021-10-01T00:15,w,25,9,14,4,11,68,4,0,24,49
2021-10-01T00:15,AS,59,129,82,14,68,215,37,39,71,162
2021-10-01T00:15,AA,58,73,45,10,42,64,119,13,25,205
2021-10-01T00:15,z,18,19,8,5,17,31,4,5,19,27
2021-10-01T00:15,Ak,12,3,4,7,0,1,5,0,3,1274
2021-10-01T00:15,W,39,24,24,7,22,54,23,3,44,98
2021-10-01T00:15,BB,33,19,11,28,8,45,5,0,26,26
2021-10-01T00:15,x,112,49,39,77,34,190,65,20,150,155
2021-10-01T00:15,Aa,77,91,58,18,32,207,38,22,136,162
2021-10-01T00:15,i,72,15,26,46,8,40,41,2,65,384
2021-10-01T00:15,c,25,45,20,48,23,46,12,0,85,162
2021-10-01T00:15,O,14,33,13,9,3,27,18,11,18,21
2021-10-01T00:15,N,35,2,0,30,0,36,22,0,47,22
2021-10-01T00:15,BH,22,21,7,4,4,39,5,1,17,22
2021-10-01T00:15,Ax,62,45,35,6,24,72,33,14,77,112
2021-10-01T00:15,BI,2,0,19,7,6,3,5,0,3,7
2021-10-01T00:15,0,7,2,0,6,11,12,2,0,5,26
2021-10-01T00:15,BJ,3,33,2,3,0,1121,4,0,4,8
2021-10-01T00:15,1,85,533,34,13,23,394,21,14,105,99
2021-10-01T00:15,A5,26,19,21,10,20,24,25,3,35,86
2021-10-01T00:15,AL,9,33,6,5,8,56,9,8,20,32
2021-10-01T00:15,T,107,142,48,26,34,288,51,8,140,181
2021-10-01T00:15,AT,11,19,15,7,10,61,11,0,71,60
2021-10-01T00:15,q,40,46,9,52,10,237,6,3,85,41
2021-10-01T00:15,a,11,17,20,4,28,41,8,7,20,37
2021-10-01T00:15,Y,10,42,0,4,0,58,1,2,35,14
2021-10-01T00:15,AN,19,15,9,15,0,44,9,0,48,15
2021-10-01T00:15,AC,20,18,4,6,4,33,3,0,28,47
2021-10-01T00:15,Ao,17,23,6,5,10,37,10,12,27,60
2021-10-01T00:15,A1,17,17,16,6,4,44,6,6,33,69
2021-10-01T00:15,g,522,131,93,24,66,349,175,21,244,357
2021-10-01T00:15,AK,4,4,0,4,0,0,0,2,0,0
2021-10-01T00:15,AM,38,78,25,9,23,124,22,11,70,78
2021-10-01T00:15,Af,37,70,15,9,6,98,27,10,46,85
2021-10-01T00:15,AH,29,11,12,30,19,21,15,0,23,54
2021-10-01T00:15,6,11,33,0,4,0,106,0,0,16,6
2021-10-01T00:15,BK,18,20,10,13,14,64,14,1,33,54
2021-10-01T00:15,Ai,21,19,36,12,72,46,55,8,67,198
2021-10-01T00:15,A3,17,23,7,8,0,31,11,0,28,29
2021-10-01T00:15,BL,22,25,11,2,3,29,11,2,34,78
2021-10-01T00:15,BM,142,239,91,20,66,288,79,58,241,373
2021-10-01T00:15,AD,70,154,44,22,30,235,33,15,124,180
2021-10-01T00:15,v,41,10,7,6,15,39,21,2,33,80
2021-10-01T00:15,I,19,31,6,7,4,15,7,8,31,64
2021-10-01T00:15,Az,12,35,19,17,13,46,9,9,20,75
2021-10-01T00:15,BD,418,692,260,32,147,928,217,97,582,873
2021-10-01T00:15,M,17,5,6,18,0,3,13,4,103,124
2021-10-01T00:15,B,9,7,1,3,0,17,0,0,5,7
2021-10-01T00:15,Ah,8,22,12,7,10,18,7,4,21,65
2021-10-01T00:15,AW,19,53,19,4,14,58,11,2,58,65
2021-10-01T00:15,Ac,17,10,0,14,2,14,2,0,4,22
2021-10-01T00:15,AR,32,27,21,9,21,53,21,10,30,62
2021-10-01T00:15,n,29,9,5,51,13,28,32,6,29,75
2021-10-01T00:15,L,14,40,50,58,43,46,29,6,56,90
2021-10-01T00:15,AZ,19,36,5,5,1,50,4,1,20,22
2021-10-01T00:15,A7,85,59,63,23,48,122,85,20,83,214
2021-10-01T00:15,AE,72,38,11,90,25,109,16,1,38,82
2021-10-01T00:15,Au,18,13,13,5,16,54,22,4,20,47
2021-10-01T00:15,Aw,6,11,15,20,16,49,31,1,36,43
2021-10-01T00:15,Q,27,89,2,6,2,74,7,4,46,50
2021-10-01T00:15,3,4,3,36,48,40,72,18,3,28,91
2021-10-01T00:15,Ag,25,12,11,17,2,22,21,2,13,55
2021-10-01T00:15,U,81,29,18,21,1,71,5,9,79,35
2021-10-01T00:15,AG,50,13,1,14,0,13,6,0,331,25
2021-10-01T00:15,BN,14,27,12,6,10,49,3,4,32,40
2021-10-01T00:15,f,39,7,0,6,0,20,3,0,27,10
2021-10-01T00:15,t,35,52,33,22,43,92,27,19,57,128
2021-10-01T00:15,R,16,2,21,15,11,34,3,2,61,58
2021-10-01T00:15,Z,8,12,0,12,0,12,4,0,4,15
2021-10-01T00:15,A4,21,25,5,6,3,39,12,4,31,34
2021-10-01T00:15,b,29,46,9,11,17,95,7,11,34,61
2021-10-01T00:15,A8,22,15,1,6,6,24,12,0,26,18
2021-10-01T00:15,C,56,39,25,11,14,55,26,8,40,65
2021-10-01T00:15,BC,22,15,12,157,12,44,7,3,25,25
2021-10-01T00:15,AI,4,7,2,4,0,4,5,1,4,3
2021-10-01T00:15,A6,35,36,18,4,9,59,15,4,51,62
2021-10-01T00:15,AX,73,170,26,19,29,238,22,9,129,175
2021-10-01T00:15,V,60,38,19,57,15,91,37,2,49,79
2021-10-01T00:15,A,251,293,506,38,254,541,408,151,703,11253
2021-10-01T00:15,Ar,3,2,0,10,0,7,0,0,8,5
2021-10-01T00:15,8,91,17,7,53,9,34,45,0,3,55
2021-10-01T00:15,h,20,17,0,8,8,28,1,0,15,24
2021-10-01T00:15,BA,23,18,63,432,101,20,42,8,29,137
2021-10-01T00:15,AB,9,23,36,18,53,29,42,4,25,86
2021-10-01T00:15,F,74,25,8,3,12,51,9,2,41,39
2021-10-01T00:15,An,15,3,82,72,308,19,24,0,0,50
2021-10-01T00:15,Aq,20,14,9,12,4,28,9,1,32,28
2021-10-01T00:15,P,27,18,17,7,19,41,26,5,43,72
2021-10-01T00:15,m,4,2,0,2,3,45,3,0,7,11
2021-10-01T00:15,Av,11,10,12,12,6,42,9,1,25,43
2021-10-01T00:20,AA,62,71,47,12,35,72,92,11,33,196
2021-10-01T00:20,W,40,27,26,7,22,56,21,4,54,89
2021-10-01T00:20,BA,26,22,71,462,90,27,49,13,18,142
2021-10-01T00:20,AI,3,6,3,3,0,4,3,2,4,6
2021-10-01T00:20,AG,43,10,0,13,0,12,6,0,296,27
2021-10-01T00:20,BO,9,4,0,5,0,2,1,0,0,2
2021-10-01T00:20,AN,22,17,5,15,1,55,9,0,42,13
2021-10-01T00:20,c,21,44,20,44,28,46,10,6,86,179
2021-10-01T00:20,q,47,42,4,62,9,249,9,4,81,43
2021-10-01T00:20,AR,30,35,32,8,24,49,22,11,39,74
2021-10-01T00:20,A1,25,11,9,7,5,41,4,6,30,64
2021-10-01T00:20,Z,15,10,0,7,1,19,6,0,8,12
2021-10-01T00:20,AK,4,3,2,4,0,0,0,7,0,0
2021-10-01T00:20,U,84,38,8,27,2,78,8,4,81,41
